yoruba,english
"Ni odun 1980s o kópa ninu awon ere bii Taxi, Cheers ati Ere Traci Ulman.","During the 1980s he worked on shows such as Taxi, Cheers, and The Tracy Ullman Show."
"Ní 1989 ó rànwọ́lọ́wọ́ láti ṣe ìdásílẹ̀ The Simpson with Brooks àti Groening, ló jk aṣojú fún gbígba àwọn ẹgbẹ́ àkọ́kọ́ tó ko ètò náà.","In 1989 he helped create The Simpsons with Brooks and Groening, and was responsible for hiring the show's first writing team."
"Pẹ̀lú pé ó kúrò nínú eré náà ni ọdún 1993 orúkọ rẹ̀ sí wà gẹ́gẹ́ bí onígbọ̀wọ́ àgbà, ó sìn ń gba mílíọ̀nù mẹ́wàá dọ́là ní sáà gbogbo nínú ọlạ́.","Despite leaving the show in 1993 he kept the title of executive producer, and continued to receive tens of millions of dollars every season in royalties."
"Sáájú, ilé-iṣẹ́ oníròyìn ilẹ̀ China, Xinhua jábọ̀ ọkọ̀ òfuurufú tí a fẹ́ fi ipá gbà.",Earlier the Chinese news agency Xinhua reported a plane to be hijacked.
"Awon iroyin to gbeyin nigba naa wipe oko oju ofurufu naa gba ihale bombu won de daa pada lo si Afganistani, o de si Kandaha.","Later reports then stated the plane received a bomb threat and was diverted back to Afghanistan, landing in Kandahar."
Ìròyìn àárọ̀ ní wọ́n dá ọkọ̀ ojú òfúrufú lọ sí Afghanistan lẹ́yìn tí wọ́n dùn wọ́n ní ìbalẹ̀ pàjáwìrì ní Ürümqi.,The early reports say the plane was diverted back to Afghanistan after being denied an emergency landing in Ürümqi.
"Ìjàm̀bá ojú òfúrufú ló wọ́pọ̀ ní ilẹ̀ Iran, èyí tó ní ìtàn pípẹ́ fún àìse àbòjútó tó péye fún ìlò ará ìlú àti ológun.","Air accidents are common in Iran, which has an aging fleet that is poorly maintained both for civil and military operations."
Òfin ìfìyàjẹni ilẹ̀ òkèrè ti fi lélẹ̀ pẹ kò gbọdọ̀ sí ríra ọkọ̀ ojú òfurufú tuntun.,International sanctions have meant that new aircraft cannot be purchased.
"Níbẹ̀rẹ̀ ọsẹ̀ yìí, ọkọ̀ bàálù abàsíbi ó wùú àwọn ọlọ́pàá sekúpa èèyàn mẹ́ta , nígbàtí àwọn mẹ́tàa min farapa .","Earlier this week, a police helicopter crash killed three people and wounded three more."
"Lóṣù tó kọjá, ilẹ̀ Iran fojú winná àjálù ojú afẹ́fẹ́ tó burú jù lọ́dún nígbàtí ọkọ̀ ojú òfúrufú tó ń lọ sí ilẹ̀ Armenia já lulẹ̀, èyí tó sekúpa ènìyàn méjìdínláàdọ́sàn án tó wà nínú rẹ̀.","Last month Iran saw its worst air disaster in years when an airliner heading to Armenia crashed, killing the 168 on board."
"Ni osu kan naa oko ofurufu miin sa koja oju ona ni Masaadi o de kolu ogiri, awon eyan metadinlogun lo ku.","The same month saw another airliner overrun a runway at Mashhad and strike a wall, killing seventeen."
Aerosmith ti fagilé ìpàdé orin tó kù ní ìrìn àjò.,Aerosmith have cancelled their remaining concerts on their tour.
Ẹgbé olórin alàriwo ohùn ti jìtá náà tí sétó làti rin Orílẹ̀-èdè Améríkà àti Canada já títí di Ọjọ́ Kẹrìndínlógún Osù Kẹsàn.,The rock band was due to tour the United States and Canada until September 16.
Wọ́n ti wọ́gilé ìrìnafẹ́ lẹ́yìn tí asájú orin Steven Tyler nífarapa lẹ́yin tó subú lórí ìtàgé lákòókò tó ń seré lọ́jọ́ karùn ún osù kẹjọ.,They have cancelled the tour after lead singer Steven Tyler was injured after he fell off stage while performing on August 5.
Mure pàdánù eré kiní ní eré ìdíje titiipa lẹ́yìn tí àwọn okùnrin náà di gbogbo sefi ní sẹ́ti náà.,Murray lost the first set in a tie break after both men held each and every serve in the set.
"Del Potro ní àfàní láti ìbẹ̀rẹ̀ ní ìpín kẹjì, sùgbọn èyí náà pèfún yíyanjú ìfagagbága lẹ̀yín ayo mẹ́fà si mẹ́fà.","Del Potro had the early advantage in the second set, but this too required a tie break after reaching 6-6."
Potro gba itoju si ejika re nibayi o si gbiyanju lati pada si ori papa.,Potro received treatment to his shoulder at this point but managed to return to the game.
Eto naa bere ni dede ago mejo abo ale ti ile naa (15.00 UTC).,The program started at 8:30 p.m. local time (15.00 UTC).
Awon ogbontarigi olorin kakiri orileede sagbekale bhajans abi orin isin si abe ese Shyam.,"Famous singers across the country presented bhajans, or devotional songs, to Shri Shyam's feet."
"Akọrin Sanju Ṣama ló bẹ̀rẹ̀ etò ìrọ̀lẹ́, Jai Ṣanka Ṣudiri ló tẹ́lẹ̀ Jai Sanaka Sandiri naa. Akọrin Raju Kandiwali n kọri tẹ́lẹ̀.","Singer Sanju Sharma started the evening, followed by Jai Shankar Choudhary. esented the chhappan bhog bhajan as well. Singer, Raju Khandelwal was accompanying him."
"Lẹ́yìn náà, Lakkha Singh ni ó gba ìdarí kíkọ orin bhajans.","Then, Lakkha Singh took the lead in singing the bhajans."
"Àwọn Chhappan Bhog méjìdínláàdọ́fà (ni Hinduism, mẹ́rìndílọ́gọ́ta ọ̀tọ̀tọ̀ ohun tó ṣe é jẹ, bíi súùtì èso, ẹ̀pà, ounjẹ abbl. Tí wọ́n gbé fún àwọn òrìṣà) ni wọ́n gbé fún Baba Shyam.","108 plates of Chhappan Bhog (in Hinduism, 56 different edible items, like, sweets, fruits, nuts, dishes etc. which are offered to deity) were served to Baba Shyam."
Lakkha Singh ti se ìfàkalẹ̀ chhappan bhog bhajan pẹ̀lú. Olórin Raju Khandelwal ló ń kọ́ọ̀wọ́rìn pẹ̀lú rẹ̀.,"Lakkha Singh presented the chhappan bhog bhajan as well. Singer, Raju Khandelwal was accompanying him."
"Nínú àgbékalẹ̀ gbòógì àfihàn géèmù ilẹ̀ Tokyo tọjọ́ àlàmísì, ààrẹ ilẹ̀ Nintendo, Satoru Iwata se àfihàn ìsàkóso àwòrán fún iléẹṣẹ́ tuntun Nintendo Revolution.","At Thursday's keynote presentation of the Tokyo Game Show, Nintendo president Satoru Iwata unveiled the controller design for the company's new Nintendo Revolution console."
"Ó jọ ohun ìdarí ẹ̀rọ amóhùnmáwòrán, ohun tí ẹ ó fi tukọ̀ lo sẹ́ńsọ̀ méjì tí wọ́n gbé sí ẹ̀gbẹ́tẹ̀ifisàn ẹni tí ó ń lòó láti yígun ipo rẹ̀ ni ọnà mẹ́ta ọ̀tọ̀ọ̀tọ̀.","Resembling a television remote, the controller uses two sensors placed near the user's television to triangulate its position in three-dimensional space."
Èyí máa gba àwọn eléré ìje láàyè láti darí àwọn ìrìnkákiri nínú eré fídíò nípa gbígbé èrọ náà ká nípasẹ̀ afẹ́fẹ. .,This will allow players to control actions and movements in video games by moving the device through the air.
"Jiankalo Fisisela o lè ṣàkóso moto mọ́,ó dẹ̀ mú u kí èrè sísá náà parí lẹ́sẹ̀kẹsẹ̀ tí wọ́n bẹ̀rẹ̀.",Giancarlo Fisichella lost control of his car and ended the race very soon after the start.
"Ọmọ egbẹ́ rẹ̀ Fenando Alonso ló darí fún púpọ̀ nínú ere ìdíjé, ṣùgbọ́n ó parí lẹ́yìn ìdádúro re, bóyá nítorí pé wọn ò fí ojúẹsẹ̀ṣ mọ́tò há dada.","His teammate Fernando Alonso was in the lead for most of the race, but ended it right after his pit-stop, probably because a badly tucked right front wheel."
Michael Schumacher parí eréje rẹ̀ láìpẹ́ tí Alonso parí nítori ìjàm̀bá ìrọ́kúnlé nínú ọ̀pọ̀ ìjà làkòókò eréje.,"Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race."
"“Ó lẹ́wà lọ́pọ́, ó tún kọrin dáradára,” ó sọ́ nípa àkọọ́lẹ̀ ìpàdé àwọn oníròyìn.","""She’s very cute and sings quite well, too,"" he said according to a transcript of the news conference."
“Gbogbo ìgbà tí a bá se ìgbáradì lóri rẹ̀ ni ara mi ma ń dìde látinú ọkàn mi wá.”,"""I was moved every time we did a rehearsal on this, from the bottom of my heart."""
"Nígbàtí yíò fi tó ìṣẹ́jú mẹ́ta ìsàfilọ́lẹ̀, ọ̀kan lára èrò ayàwòrán tó wà nínú ọkọ̀ ti sàfihàn ọ̀pọ̀lọpọ̀ ẹyọ fóòmù ìdáàbòòbò tó já kúrò lára ilé ìképosí.","Around 3 minutes into the launch, an on-board camera showed numerous pieces of insulation foam break away from the fuel tank."
"Síbẹ̀síbẹ̀, kò sí ẹ̀ròngbà wípé wọn mú ìdibàjẹ́ bá agbẹ́rù náà.","However, they are not thought to have caused any damage to the shuttle."
"Aládarí ọkọ̀ alálọbọ̀ ti NASA, N.Wayne Hale Jr. sọ ọ́ di mímọ̀ pé fóòmùn ti jábọ́ “lẹ́yìn ìgbà tí ó se kókó fún wa”.","NASA's shuttle program chief N. Wayne Hale Jr. said the foam had fallen ""after the time we are concerned about."""
"Ìṣẹ́jú márùn ún síwájú idán, ìjì bẹ̀rẹ̀ sí ni jà, bí ìṣẹ́jú kan si, ìjì náà dé orí àádọ́rin kìlómítà láàrín wákàtí kan…léyìn náà ni òjò bẹ̀rẹ̀ sí ni rọ̀ to bẹ́ẹ̀ ti dídún rẹ̀ lára dàbí abẹ́rẹ́, bẹ́ẹ̀ ni yìnyín ń bọ́ láti ojú ọ̀run, gbogbo ẹnìyàn bẹ̀rẹ̀ sí ní wá rìrì, wọ́n ń bẹ̀rù, wọ́n ń pariwo, wọ́n sì ń sá gba orí ara wọn.","Five minutes into the display a wind starts rolling in, about a minute later, the wind is reaching 70km/h... then the rain comes, but so hard and so large that it slaps your skin like a needle, then hail fell from the sky, people panicking and screaming and running over each other."
"Mo pàdánù àbúrò mi obìnrin àti ọ̀rẹ́ rẹ̀, ní ojú ọ̀nà nígbàtí mò ń lọ mo rí àwọn aláàbbọ̀ ara méjì lórí àga, àwọn ènìyàn kàn ti ara wọ́n,” Armand Versace sọ bẹ́ẹ̀.","I lost my sister and her friend, and on my way there were two disabled people in wheelchairs, people just jumping over and pushing them,"" Armand Versace said."
NHK ròyìn pe Ilé ìgbìn agbára nukilia Kaṣiwasaki Kariwa ni Nigata kí ń ṣiṣẹ́ dédé tẹ̀lé.,NHK also reported that the Kashiwazaki Kariwa nuclear power plant in Niigata prefecture was operating normally.
Hokuriku electric power co. jábọ̀ pé kò sí ipa kankan látara ilẹ̀ rírì àti pé àwọn ìsesí kìnní àti ìkejì sí ilé iṣẹ̀ tó ń pèsè agbára apanirun Shika ni wọ́n ti gbé tìpa.,Hokuriku Electric Power Co. reported no effects from the earthquake and that the Number 1 and 2 reactors at its Shika nuclear power plant were shut down.
A gba pé àwọm ilé tó tó 9400 ní agbègbè náà wà láìsí omo àti pé àwọn tó tó 100 wà láìsí iná.,It is reported that some 9400 homes in the region are without water and approximately 100 without electricity.
Àwọn ọ̀nà kán ti bàjẹ́ wón to dá reluwé dúró níbi tó kàn Papa Ọkọ̀ Ofurufu Noto ní Iṣikawa wà ní títì.,"Some roads have been damaged, railway service interrupted in the affected areas, and the Noto Airport in Ishikawa prefecture remains closed."
Àdó olóró kan dún gbàmù ní ọfíìsi ̀gbogbogbo gómìnà.,One bomb exploded outside the governor general's office.
Boomu mẹ́ta bẹ̀ ní ẹ̀gbẹ́ ilé ìjọba laarin wákàtí méjì.,Three more bombs exploded near government buildings in a period of two hours.
"Awon iroyin miin wipe bii eyan mejo lo ku, iroyin osise jeri pe o to 30 to sise; sugbon a o tii mo awon onka ipari.","Some reports put the official death toll at eight, and official reports confirm that up to 30 were injured; but final numbers are not yet known."
Cyanuric àti melamine ni a rí nínu ìtọ̀ àwọn ohun ọ̀sìn inu ilé tó ti kú lẹ́yìn tí wọ́n jẹ òúnjẹ́ wọ́n tó ti dọ̀tí.,Both cyanuric acid and melamine were found in urine samples from pets that died after consuming contaminated pet food.
Àwọn ìsopọ̀ méjì náà siṣẹ́pọ̀ pẹ̀lú ara wọn láti di àwọn kìrísítà tí ó lè dí iṣẹ́ kídìnrín lọ́wọ́ gẹ́gẹ́ bí àwọn olùsàyẹ̀wò ilẹ́ẹ̀kọ́ fásitì ti wí.,"The two compounds react with one another to form crystals that may block kidney function, researchers at the university said."
Àwọn oníiwàdí ri wíp wọ́n se kírísítà pẹ̀lú ìtọo olóńgbò pẹ̀lú àdàlù melamine àticyanuric acid.,The researchers observed crystals formed in cat urine by the addition of melamine and cyanuric acid.
Ẹ̀kún àwọn kristali wọ̀nyí bá ti ìtọ̀ àwọn ẹran ọ̀sìn to kóo nígbàtí a fi wọn wéra pẹ̀lú infrared spectroscopy (FTIR.,The composition of these crystals matches those found in the urine of affected pets when compared by infrared spectroscopy (FTIR).
"Mi kò mọ̀ bóyá ó yé ọ tàbí kò yé ọ, sùgbọ́n ọ̀pọ̀ àwọn ẹrù ni ó dé láti ààrin gbùngbùn America wọ orílèèdè yìí lọ́ọ̀fẹ́.","I don't know if you realize it or not, but most of the goods from Central America came into this country duty-free."
"Bee kede re, mejo ninu idamewa awon oja wa ni o gba owo ori nipase tarifi ni ilu Amerika aarin, aa wo e san.",Yet eighty percent of our goods were taxed through tariffs in Central American countries. we treat you.
Ìyẹn ò ní ìtunmọ̀ sí mi; dájúdájú kò dára.,That didn't seem to make sense to me; it certainly wasn't fair.
Ohun gbogbo tí mo má ń sọ fáwọn ènìyàn ni wípé kí o tọ́jú wa bí a se ń tọ́jú rẹ.,All I say to people is you treat us the way we treat you.
"Gomina Kalifonia Arnold Schwarzenegger fowosi ofin titun ti o pa leewo lati ya tabi ta ere fidio to ni ijakadi, si awon omo kekere..",California Governor Arnold Schwarzenegger signed into law a bill that bans the sale or rental of violent video games to minors.
"Àbá náà gba kí wọ́n sa àmì “ọmọ ọdún méjìdínlógún” sí ara eré fọ́ńrán amóhùnmáwòrán ̀ kan tí wọ́n tà ní ìpínlẹ̀ California, kí wọ́n sì ta ọjà wọn fún àwọn ọmọ tí wọn kò ì bàlágà ṣùgbọ́n tí ìjìyà owó ìtanràn tó tó ẹgbẹ̀rún kan dọ́là wà fún.","The bill requires violent video games sold in the state of California to be labeled with a decal reading ""18"" and makes their sale to a minor punishable by a fine of $1000 per offense."
"Àwọn adarí ìbánirojó Gbogbgbò, Kier Stammer QC, fi ọ̀rọ̀ kan sílẹ̀ ní àárs yìí tí ó ń kéde ìbánirojọ́ ti Huhne àti Pryce.","The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce."
"Hune ti fiwe sile, won de ma fi Ed Dafe MP ropo e ni Igbimo. Nomani Lab MP ni a n reti pe o ma gba ise Minista Isowo ti Dafe ma fi sile.",Huhne has resigned and he will be replaced in the Cabinet by Ed Davey MP. Norman Lamb MP is expected to take the Business Minister job Davey is vacating.
A ṣètò fún Huhne àti Pryce láti farahàn níwájú ilé ẹjọ́ májísírètì Westminster ní ọjọ́o kẹrìndínlógún oṣùu kejì.,Huhne and Pryce are scheduled to appear at the Westminster Magistrates Court on February 16.
"Àwọn tí ó kú ní Nikolasi Aldini, márùndínlọ́gbọ̀n, àti Sakari Kudbaaki, mọ́kànlélógún, Kudbaaki ni ó ń wa ọkọ̀.","The fatalities were Nicholas Alden, 25, and Zachary Cuddeback, 21. Cuddeback had been the driver."
Edgar Veguilla gba ọgbẹ́ ní apá ati àgbọ̀ǹ nígbà tí Kristoffer Scheider wà ní ipò tó nílò àtúnsẹ isé abẹ fún ojú rè.,Edgar Veguilla received arm and jaw wounds while Kristoffer Schneider was left requiring reconstructive surgery for his face.
"Irinogun Uka rugbá nígbàtí wọ́n kọjú ẹ̀ sórí okùnrin ikarun. Ṣinaida wà nínú ìnira lọ́wọ́, ojú rẹ̀ kan ti fọ́, apá agbári rẹ̀ ti sọnù ati pé apá ojú rẹ̀ kan kikida titaniumu ni wọn fi tún un kọ́.","Uka's weapon failed whilst pointed at a fifth man's head. Schneider has ongoing pain, blindness in one eye, a missing section of skull and a face rebuilt from titanium."
Ṣínaida fi ìhá-fídíò jẹ́rí láti ibi ọ̀dọ̀ USAF kan nínú orílèdé rẹ̀.,Schneider testified via videolink from a USAF base in his homeland.
"Kọjá ìṣẹ̀lẹ̀ ọjọ́rú, Carpanedo kópa nínú ìdíje orísìí méjì níbi ìfigagbága olúbori.","Beyond Wednesday's event, Carpanedo competed in two individual races at the Championships."
"Esi re akoko ni Slalom, ni ibi ti o ti gba esi wipe ko pari idije. Merindinlogoji ninu awon olukopa merindinlogofa ni o ni esi kanna ninu idije naa.","Her first was the Slalom, where she earned a Did Not Finish in her first run. 36 of the 116 competitors had the same result in that race."
"Ó parí ní ipò kẹ́wà ní ẹgbẹ́ ìjóko obinrin ní eré ikeji rẹ̀ Slalomi nla, pẹ̀lú àkọ́kọ́ ìsáré àpapọ̀ ìṣẹ́jú 4:41:30, 2:11:60 èyí tí kò sáré tó onípò kíní Klodia Loeṣi ara Ostria àti ìṣẹ́jú 1:09:02 tí kò yá tó onípò kẹ́san Giyongi Dani ará Ongari.","Her other race, the Giant Slalom, saw her finish in tenth in the women's sitting group with a combined run time of 4:41.30, 2:11.60 minutes slower than first place finisher Austrian Claudia Loesch and 1:09.02 minutes slower than the ninth place finisher Gyöngyi Dani of Hungary."
"Àwọn afòlókè mẹ́rin nínú ẹgbẹ́ àwọn obìnrin kùnà láti parí àwọn iṣẹ́ wọn, àti márùndínláàdọ́ta nínú mẹ́tàdínlọ́gọ́fà àwọn olùfò nínú ikọ̀ Giant Slalom ló kùnà láti rípò nínú ìdíje.","Four skiers in the women's sitting group failed to finish their runs, and 45 of the 117 total skiers in the Giant Slalom failed to rank in the race."
Awon Olopa Madhya Pradesi ri komputa foonu agbeko ti won ji gba pada.,The Madhya Pradesh Police recovered the stolen laptop and mobile phone.
"Ìgbákẹjì Ayèwò Gbogbogbò D K Arya sṣ wípé, “ A ti fi pánpé mú àwọn márùn tó fi ipá ba´ obìnrin Swiss náà lòpọ̀ a si ti gba èrọ ìbánisọ̀rọ̀ àti kọ̀mpútà rẹ padà.","Deputy Inspector General D K Arya said, ""We have arrested five persons who raped the Swiss woman and recovered her mobile and laptop""."
"Àwọn tí wọ́n fi ẹ̀sùn kan ní orúkọ wọ́n jẹ́ Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar àti Vishnu Kanjar.","The accused are named as Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar and Vishnu Kanjar."
Ọ̀ga Olópa wípé àwọn boju ẹlẹ́wọ̀n wá sí ilé ẹjọ́.,Police superintendent Chandra Shekhar Solanki said the accused appeared in court with covered faces.
"Biotilejepe àwọn èyàn wà nílé náà nígbàtí mọ́́tò kọlù, kò sí kan nínú wọn tó ṣiṣe.","Although three people were inside the house when the car impacted it, none of them were hurt."
"Sugbon, awako sese sori gidi.","However, the driver sustained serious injuries to the head."
Wọn ti ọpọpọna ti ijamba naa ti ṣẹlẹ ni titipa fun gba diẹ nigbati awọn oṣiṣẹ pajawiri gbiyanju lati yọ awakọ naa kuro ninu ọkọ Audi TT pupa.,The road where the crash happened was temporarily closed while emergency services freed the driver from the red Audi TT.
Ọkùnrin náà kọ́kọ́ wà ní ilé ìwòsàn James Paget ní ìlú ńlá Great Yarmouth.,He was initially hospitalised in the James Paget Hospital in Great Yarmouth.
Wọ́n padà gbé lọ sí ilé ìwòsàn Addenbrooke tí ó wà ní Cambridge.,He was subsequently relocated to Addenbrooke's Hospital in Cambridge.
Adékọ̀yà ti wà ní ilé ẹjọ́ Edinburg pẹ́lù ẹ̀sùn pé ó pa ọmọ rẹ̀.,Adekoya has since been in Edinburgh Sheriff Court charged with murdering her son.
"Ó wà ní àhámọ́ títí dí àkókò ìgbẹ́jọ́ àti ìdájọ́, àmọ́ ó se é se kí wọ́n tọwọ́ bọ ẹ̀rí nítorí pé wọ́n ti gbé àwòrán rẹ̀ kiri jù.","She is in custody pending indictment and trial, but any eyewitness evidence may be tainted because her image has been widely published."
Èyí lọ̀pọ̀ ohun tí wọ́n má ń se ní US àmọ́ ìdàjọ́ ilẹ̀ Scottish siṣẹ́ yàtọ̀ àti wípé ilé ẹjọ́ má ń ka àwọn àwòrán tí wọ́n bá gbé síta bí ohun tó lè fa ẹlẹ́yàmẹ̀yà.,This is common practice elsewhere in the UK but Scottish justice works differently and courts have viewed publication of photos as potentially prejudicial.
"Omowe Pamela Fegusini tí Ilé Ẹ̀kọ́ Gíga Dondi wipe erékéré ní awon oníròyìn tó n ya àwòrán àwọn tí a fẹ̀sùn kàn, n ṣe.”","Professor Pamela Ferguson of the University of Dundee notes ""journalists do seem to be walking a dangerous line if publishing photos etc of suspects."""
"Crown Office, ọ́fíísì tó wà nídìí ìbániṣẹjọ́, ti ṣàfihàn rẹ̀ fún àwọn oníròyìn pé òhun kò ní fèsì kankan mọ títí dìgbà ìdájọ́.","Crown Office, which is in overall charge of prosecutions, has indicated to journalists that no further comment will be made at least until indictment."
"Àwọn àkọọ́lẹ̀ gẹ́gẹ́ bí ó ti se jẹ jáde, ni ó ma tọ́ka sí ìfànfà ẹnubodè, léyìí tí ilẹ̀ Palestine fẹ́ níbàámun pẹ̀lú bí ibodè se wà sáájú oogun Mideast lọ́dún 1967.","The document, according to the leak, will refer to the borders dispute, which Palestine wants based on the borders before the 1967 Mideast War."
Ara awon akori ti eto naa dale lori ni oro ojo iwaju ile olominira ti Jerrusalemu ti o se koko si orile ede mejeeji ati ti oro petele Jordani.,Other topics covered reportedly include the future state of Jerusalem which is sacred to both nations and the Jordan Valley issue.
Isreli bere fun isoju omo ogun ni petele naa fun odun mewa ni kete ti won pa ti kowesile nigba naa PA gba pe ohun ma fi isoju naa le fun odun marun nikan.,Israel demands an ongoing military presence in the valley for ten years once an agreement is signed while the PA agrees to leave such presence only for five years.
"Àwọn tó yìnbọ ní ìtọ́wò àgbóguntí kòkòrò ní láti ní alábòjútó, bí ṣọ́ ìtọ́wò náà àti bí ó ṣe ní ipa tọ́.","Shooters in the supplementary pest control trial were to be closely supervised by rangers, as the trial was monitored and its effectiveness evaluated."
"Ní àjọsepọ̀ pẹ̀lú NPWS àti ẹgbẹ́ Sporting Shooters Association of Australia (NSW) Inc, wọ́n gba àwọn olùfínúfíndọ̀ tó pegedé lábẹ́ ètò ìdọdẹ ẹgbẹ́ Sporting Shooters Association.","In a partnership of NPWS and the Sporting Shooters Association of Australia (NSW) Inc, qualified volunteers were recruited, under the Sporting Shooters Association's hunting program."
"Nípasẹ̀ ọ̀rọ̀ Mik Oflini, Olùdarí Eré Ṣíṣe Pak Conserfaṣọ́nì àti Ẹ́rítájì pẹ̀lú NPWS; àwọn check mẹ́rẹ̀rin tí wón yàn fún ìjade ìbọn yínyìn àkọ́kọ́, rí àmọ̀ràn ìdáàbòbò àti ìtọ́nisọ́nà tí ó péye gbà.","According to Mick O'Flynn, the Acting Director Park Conservation and Heritage with the NPWS, the four shooters selected for the first shooting operation received comprehensive safety and training instruction."
Martelly búra ninú ìgbìmọ̀ elétò ìdìbò tuntun ẹlẹ́ni mẹ́sàn-án ni àn.,Martelly swore in a new Provisional Electoral Council (CEP) of nine members yesterday.
"Odún Kaàrún CEP Martelly nìyí,ni ọdún mẹ́rin síi.",It is Martelly's fifth CEP in four years.
"Ní oṣù tó kọjá, ìgbìmọ̀ àrẹ kan filọ̀ pe kí CEP tó wà nípò tẹ́lẹ̀, fi iṣẹ́ lẹ̀ gẹ́gẹ́ bí ara àwọn igbese láti mú kí ilu ṣe ìbò titun.",Last month a presidential commission recommended the prior CEP's resignation as part of a package of measures to move the country towards new elections.
Comisooni naa je esi Mateli si itako ijoba to wopo to si bere ni Owara.,The commission was Martelly's response to widespread anti-regime protests that started in October.
"Àì lè ṣe ìdìbò ló má ń fa àwọn ìfẹ̀hónú tó le hàn ní ọ̀pọ̀ ìgbà, àwọn kan ní 2011.","The sometimes-violent protests were triggered by failure to hold elections, some due since 2011."
"Láàrin àwọn Ípọọ̀dù ọgọ́ta tó ń se bálabàla ní wọ́m ní ó ń gbóná lala, tó fa iná mẹ́fà tí àwọn èèyàn mẹ́rìn in sì farapa yánayàna.","Around 60 cases of malfunctioning iPods overheating have been reported, causing a total of six fires and leaving four people with minor burns."
"Ilé-ìṣe òjisẹ ajé, ìṣòwò àti ilé ìṣe sọ wípé o ti di mímọ wípé ìjàmbá mẹ́tàdínlógbọn lo ti ṣẹlẹ̀ nípasẹ̀ àwọn èrò náà.","Japan's Ministry of Economy, Trade and Industry (METI) said that it had been aware of 27 accidents related to the devices."
"Lọ́sẹ̀ tó kọjá, METI kéde pé iléeṣẹ́ Apple ti fi ìṣẹ̀lẹ̀ ìgbónájù mẹ́rìnlélọ́gbọ̀n tó òhun léti, èyí tí iléeṣẹ́ pè ní “àìkójú-òsùwọ̀n.”","Last week, METI announced that Apple had informed it of 34 additional overheating incidents, which the company called ""non-serious."""
Ilé iṣẹ́ náà dáhùn nípa pípè fún sísún ìjábọ̀ iṣẹ́ Apple síwájú ní “èyí tó seni láàánú jọjọ.”,"The ministry responded by calling Apple's postponement of the report ""truly regrettable."""
"Ìṣẹlẹ ilẹ̀ ríru náà kọlu Mariana ní dédé agogo méje kọjá ìṣẹ́jú mọ́kàndínlógún àárọ̀, tí ó sì jẹ́ (09:19 p.m. GMT ọjọ́ ẹtì) ní àsìkò tiwa.",The eathquake struck Mariana at 07:19 a.m. local time (09:19 p.m. GMT Friday).
Ọ́fìsì tó ń rísí ìsàkósó ìṣẹ̀lẹ̀ pàjáwìrì fún ẹkùn Northern Marianas ti sọ ọ́ di mímọ̀ wípé kò sí àkọsílẹ̀ ìbàjẹ́ kankan ní orílẹ̀èdè náà.,The Northern Marianas emergency management office said that there were no damages reported in the nation.
Bákanáà Ibùdó Ìkìls Pacific Tsunami sọ pé kò sí ìtọ́kasí Tsunami.,Also the Pacific Tsunami Warning Center said that there was no Tsunami indication.
"Ọlọ́pàá Filipino ní ìgbà kan rí ti fi àwọn arìnrìnàjò afẹ́ láti Hong Kong sí àhámọ́ nípa fífi agídí gba ọkọ̀ bọ́ọ̀sì wọn lọ́wọ́ wọn ni Manila, tí ó jẹ́ olú ìlú Philippines.","A former Filipino policeman has kept Hong Kong tourists hostage by hijacking their bus in Manila, the capital of the Philippines."
Roland Mendoza yin ìbọn rẹ M16re mọ́ àwọn arìnrìnàjò.,Rolando Mendoza fired his M16 rifle at the tourists.
"Ọ̀pọ̀lọpọ̀ àwọn tí a mú ní ìdógó ni wọ́n ti gbà kalẹ̀, ṣùgbọ́n bíi mẹ́fà ni wọ́n sàfimúnlẹ̀ pé wọ́n ti kú.",Several hostages have been rescued and least six have been confirmed dead so far.
Àwọn mẹ́fà tí a gbé pamọ́ pẹ̀lú àwọn ọmọdé àti àgbàlagbà ni wọ́n ti fi sílẹ̀ àti àwọn Filipino tó jẹ́ ayàwòrán.,"Six hostages, including the children and elderly, were released early, as were the Filipino photographers."
Àwọn olùyàwòrán padà gba ipò obìnrin arúgbó kan nítorí ó lọ́ sí ilé ìtúnraṣe. Wọ́n yín Mendoza níbọn pa.,The photographers later took the place of an aged lady as she needed the lavatory. Mendoza was gunned down.
"Ń se ni Liggins tọpasẹ̀ baba rẹ, lọ kẹ́ẹ̀kọ́ ìmọ̀ ìsègùn òyìnbó.",Liggins followed in his father’s footsteps and entered a career in medicine.
"Ó kọ́sẹ́ bí i oníṣẹ́ abẹ aláboyún, bẹ̀rẹ̀ iṣẹ́ ni ilé ìwòsàn National Women ní Auckland lọ́dún 1959.",He trained as an obstetrician and began to work at the Auckland's National Women's Hospital in 1959.
"Nígbà tí ó ń siṣẹ́ ní ilé ìwòsàn, Liggins bẹ̀rẹ̀ ìwáàdí láwọn àkòko tí kò ní iṣẹ́ lọ́wọ́ lórí ìrọbí àìtọ́jọ́.",While he was working at the hospital Liggins began to investigate premature labor during his spare time.
